IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-09-17T06:05:30,(1.0110804172641186+0j),(-0.5119897323739673+0.8867922294253039j),(-0.5152276716420986-0.8924005047495298j)
2022-09-17T06:10:00,(1.0118639059252452+0j),(-0.5114941757071423+0.8859339001003332j),(-0.514174312610978-0.8905760333890171j)
2022-09-17T06:15:00,(1.0084088119635624+0j),(-0.512714743128942+0.888047984888954j),(-0.5146896312701577-0.8914685914888048j)
2022-09-17T06:20:00,(1.01014426466317+0j),(-0.5136660512735423+0.8896956989290558j),(-0.5153733381766188-0.8926528065882812j)
2022-09-17T06:25:00,(1.0168816143248025+0j),(-0.5111204302504999+0.8852865539803306j),(-0.5167222264151583-0.8949891495511635j)
2022-09-17T06:30:00,(1.0098453489324233+0j),(-0.5093476343475005+0.882215981404886j),(-0.514408228435783-0.8909811874822741j)
2022-09-17T06:35:00,(1.0078329886262423+0j),(-0.5142821821818185+0.8907628689663037j),(-0.5142821821818171-0.8907628689663013j)
2022-09-17T06:40:00,(1.0099039881653546+0j),(-0.5126072107206501+0.8878617332943322j),(-0.5143230642733444-0.8908336788259463j)
2022-09-17T06:45:00,(1.0109560848514714+0j),(-0.5116694405803193+0.8862374677654581j),(-0.51479727699454-0.8916550393526523j)
2022-09-17T06:50:00,(1.008461943044929+0j),(-0.5085940209571767+0.8809106847235806j),(-0.5122628014600625-0.8872651989563973j)
2022-09-17T06:55:00,(1.0111396085317912+0j),(-0.5063672359105291+0.8770537798852525j),(-0.513182876416221-0.8888588155272353j)
2022-09-17T07:00:00,(1.0070154390311417+0j),(-0.5123015032555116+0.8873322324324591j),(-0.515621425574917-0.8930825065668511j)
2022-09-17T07:07:30,(1.0118702440059326+0j),(-0.510958646731037+0.8850063367047938j),(-0.5153130432238736-0.8925483726666865j)
2022-09-17T07:10:00,(1.0128693118496588+0j),(-0.5111742359311493+0.8853797481529513j),(-0.5149175044755169-0.8918632794581705j)
2022-09-17T07:15:00,(1.0055610345962538+0j),(-0.5109558310451523+0.8850014597937832j),(-0.5108219536676868-0.8847695773740288j)
2022-09-17T07:22:30,(1.0106326190972226+0j),(-0.5126257594921059+0.8878938607089113j),(-0.5127043175956504-0.8880299273355969j)
2022-09-17T07:25:00,(1.0100159627497352+0j),(-0.50964074818702+0.8827236694673353j),(-0.5132589298758382-0.888990543983384j)
2022-09-17T07:30:00,(1.0126645893819408+0j),(-0.5107682628197556+0.8846765820975107j),(-0.5141659394977156-0.8905615307314291j)
2022-09-17T07:35:00,(1.0137896364807852+0j),(-0.5095683208774637+0.8825982216873284j),(-0.5141548169329853-0.8905422658842056j)
2022-09-17T07:40:00,(1.013389792534733+0j),(-0.5109429507515777+0.8849791504708957j),(-0.5131699672906377-0.888836456265844j)
2022-09-17T07:45:00,(1.0079852581695927+0j),(-0.5109046211287033+0.8849127616166423j),(-0.5137458768755921-0.8898339609275508j)
2022-09-17T07:50:00,(1.0235697986302097+0j),(-0.5174270975590228+0.8962100221851264j),(-0.517946261054696-0.897109239737067j)
2022-09-17T07:55:00,(1.0175159823751811+0j),(-0.5182780824730294+0.8976839712926601j),(-0.5175751761218478-0.8964665017794509j)
2022-09-17T08:00:00,(1.0203201241205453+0j),(-0.5177901933003619+0.8968389224571373j),(-0.5201149225039988-0.9008654715516757j)
2022-09-17T08:05:00,(1.0209569942112462+0j),(-0.5182166133992455+0.8975775037337722j),(-0.5183895607916634-0.8978770574044768j)
2022-09-17T08:10:00,(1.0197187922748618+0j),(-0.5201762934750724+0.9009717691916851j),(-0.5202174385264566-0.9010430345111623j)
2022-09-17T08:15:00,(1.0204328926198307+0j),(-0.518048203637097+0.8972858094692406j),(-0.5174492528040191-0.8962483961951139j)
2022-09-17T08:20:00,(1.0178826326059103+0j),(-0.5182158028067244+0.8975760997463417j),(-0.5185300974950939-0.8981204741151467j)
2022-09-17T08:25:00,(1.0243057739824555+0j),(-0.518875142054148+0.8987181088223034j),(-0.518145901750785-0.8974550275659519j)
2022-09-17T08:30:00,(1.0291147033822274+0j),(-0.518518508277492+0.8981004010014402j),(-0.5210238092421203-0.9024397095604277j)
2022-09-17T08:35:00,(1.0245346293178477+0j),(-0.5196075057566145+0.8999865999645947j),(-0.5204679260650187-0.9014768916546148j)
2022-09-17T08:40:00,(1.0243159572374467+0j),(-0.5190645145295862+0.8990461115713176j),(-0.5197184424064681-0.9001787478785624j)
2022-09-17T08:45:00,(1.0292615661669418+0j),(-0.517819546390384+0.8968897635004146j),(-0.5217776401651579-0.9037453830194452j)
2022-09-17T08:50:00,(1.0265969392570455+0j),(-0.5205424138953245+0.9016059083612501j),(-0.5228910090555006-0.9056737945050853j)
2022-09-17T08:55:00,(1.0262232340917685+0j),(-0.5214039384920304+0.9030981127347147j),(-0.5231043004423643-0.9060432260239503j)
2022-09-17T09:00:00,(1.028546092478493+0j),(-0.5206852650381633+0.901853333798566j),(-0.5231742749082936-0.9061644253541722j)
2022-09-17T09:05:00,(1.0264952766325226+0j),(-0.5221211676238253+0.9043403900316522j),(-0.5200840458319607-0.9008119915869368j)
2022-09-17T09:10:00,(1.0277261806691738+0j),(-0.5203337311393661+0.9012444592252666j),(-0.520987045728578-0.9023760332871075j)
2022-09-17T09:15:00,(1.023614225615408+0j),(-0.5207072670702854+0.9018914424360711j),(-0.521399900567215-0.9030911188437776j)
2022-09-17T09:20:00,(1.0288020735302579+0j),(-0.5206882128556164+0.9018584395681661j),(-0.5212627287114747-0.9028535302202667j)
2022-09-17T09:25:00,(1.0301462715486012+0j),(-0.5203833517093341+0.9013304045735516j),(-0.5220064081821048-0.9041416208479441j)
2022-09-17T09:30:00,(1.0295469904854486+0j),(-0.5217857150804838+0.9037593691830563j),(-0.5214930354166906-0.9032524331350246j)
2022-09-17T09:35:00,(1.032879938221586+0j),(-0.5218311997810399+0.9038381509953868j),(-0.5235435103051236-0.9068039598214347j)
2022-09-17T09:40:00,(1.0380664365477699+0j),(-0.5216676411759172+0.9035548591812992j),(-0.5248984344694536-0.909150757314457j)
2022-09-17T09:45:00,(1.026851267382895+0j),(-0.5256158711175228+0.9103933940401248j),(-0.5256237417817461-0.9104070264304486j)
2022-09-17T09:50:00,(1.0320369797317308+0j),(-0.5219504693152561+0.9040447318884444j),(-0.525891963767957-0.9108716005382731j)
2022-09-17T09:55:00,(1.034751812467475+0j),(-0.5227774442722817+0.9054770945305994j),(-0.5264484867436438-0.911835526607742j)
2022-09-17T10:00:00,(1.033073828696802+0j),(-0.5238446230788344+0.9073255024443098j),(-0.5249741549966273-0.9092819091146975j)
2022-09-17T10:05:00,(1.0349560967372837+0j),(-0.5224923539739692+0.9049833036491776j),(-0.5260283858147248-0.9111078904545474j)
2022-09-17T10:10:00,(1.0305352548824176+0j),(-0.5198188809976623+0.9003527126215515j),(-0.5232698588468889-0.9063299815922067j)
2022-09-17T10:15:00,(1.0358319218248178+0j),(-0.5231614878469918+0.9061422775143178j),(-0.5245931577449396-0.9086220025172307j)
2022-09-17T10:20:00,(1.0353020101196841+0j),(-0.5227251083057523+0.9053864459775076j),(-0.5253692167599583-0.9099661761609147j)
2022-09-17T10:25:00,(1.0309283391128254+0j),(-0.5195519606624353+0.899890393039365j),(-0.52243241885149-0.9048794929718857j)
2022-09-17T10:30:00,(1.0404146678188473+0j),(-0.5240970695835367+0.9077627526166474j),(-0.5260175793893618-0.9110891731767706j)
2022-09-17T10:35:00,(1.0372088980530974+0j),(-0.5249683620181398+0.9092718753816302j),(-0.5248921661510892-0.9091399002685717j)
2022-09-17T10:40:00,(1.0275599877487929+0j),(-0.5201197769798522+0.9008738797504979j),(-0.523014005383975-0.9058868303951476j)
2022-09-17T10:45:00,(1.0330010936384475+0j),(-0.5197115731516249+0.900166849980164j),(-0.5217210192792598-0.9036473127683001j)
2022-09-17T10:50:00,(1.0392921096694654+0j),(-0.5244480980289858+0.9083707517190672j),(-0.5295539940234157-0.917214422999582j)
2022-09-17T10:55:00,(1.0319375990606838+0j),(-0.5221634453480277+0.9044136171979993j),(-0.5258003601180881-0.9107129383625415j)
2022-09-17T11:00:00,(1.0337697206502894+0j),(-0.5202621880724303+0.9011205429984045j),(-0.5241668420626439-0.9078836020954307j)
2022-09-17T11:05:00,(1.033491317226527+0j),(-0.5238919364345646+0.9074074515803109j),(-0.5264068646321535-0.9117634349959224j)
2022-09-17T11:10:00,(1.0419453091224715+0j),(-0.5266720358364456+0.9122227249944607j),(-0.52886493568289-0.9160209389444124j)
2022-09-17T11:15:00,(1.0294154603347832+0j),(-0.5229437504960475+0.905765145359777j),(-0.52425208861574-0.9080312534565635j)
2022-09-17T11:20:00,(1.0323970752782223+0j),(-0.5216585358288947+0.9035390882576355j),(-0.5239195732649348-0.9074553199746724j)
2022-09-17T11:25:00,(1.0379761908135658+0j),(-0.5247270820128952+0.9088539661536961j),(-0.5278258187129204-0.9142211355574181j)
2022-09-17T11:30:00,(1.0178496012601226+0j),(-0.5121855909737666+0.8871314664712554j),(-0.5162026851301452-0.8940892776488913j)
2022-09-17T11:35:00,(1.0244705309736566+0j),(-0.5188253635380728+0.898631889903336j),(-0.5211602684037722-0.902676063761567j)
2022-09-17T11:40:00,(1.0165502620235944+0j),(-0.5181626525780509+0.8974840408498452j),(-0.5190587204922413-0.8990360760042553j)
2022-09-17T11:45:00,(1.0188465363455226+0j),(-0.5152546170777034+0.8924471756130293j),(-0.5173694834848556-0.8961102316814376j)
2022-09-17T11:50:00,(1.0222618645173966+0j),(-0.5162650048684603+0.8941972186019674j),(-0.5208720318085287-0.9021768233340046j)
2022-09-17T11:55:00,(1.0269683137872319+0j),(-0.5167575400534323+0.8950503145668542j),(-0.5217959145081301-0.9037770351099481j)
2022-09-17T12:00:00,(1.0296401905354307+0j),(-0.5186347667777403+0.898301766630682j),(-0.5222573968189248-0.9045763459190388j)
2022-09-17T12:05:00,(1.033922234672029+0j),(-0.5182181381725033+0.8975801447185249j),(-0.5246504271287055-0.9087211959996313j)
2022-09-17T12:10:00,(1.0180955166119119+0j),(-0.5189383348509167+0.8988275619569791j),(-0.519322472461763-0.899492907816063j)
2022-09-17T12:15:00,(1.0278113628304164+0j),(-0.522279772140115+0.9046151011121758j),(-0.5223362607144094-0.9047129421929008j)
2022-09-17T12:20:00,(1.0266295437786046+0j),(-0.5198703233739367+0.9004418134309207j),(-0.5209929336480116-0.9023862314627175j)
2022-09-17T12:25:00,(1.0280950773877449+0j),(-0.5197242545627703+0.9001888148285793j),(-0.521525669923073-0.9033089577581589j)
2022-09-17T12:30:00,(1.0308541372998243+0j),(-0.5188581437087797+0.8986886668244807j),(-0.5226659033133972-0.905283899922687j)
2022-09-17T12:35:00,(1.0211735081660878+0j),(-0.5182603300752703+0.8976532232377853j),(-0.518787920644648-0.8985670369095415j)
2022-09-17T12:40:00,(1.032104932363654+0j),(-0.5199333920256849+0.9005510515401137j),(-0.5252505761609638-0.909760684615616j)
2022-09-17T12:45:00,(1.0320052699890043+0j),(-0.519848944210352+0.9004047836333687j),(-0.5234493223627084-0.9066408215197111j)
2022-09-17T12:50:00,(1.027140858228267+0j),(-0.5147476169206803+0.8915690255816197j),(-0.5220630277559604-0.9042396888265648j)
2022-09-17T12:55:00,(1.0266719370242559+0j),(-0.5216017149515899+0.9034406716112131j),(-0.5231575757007297-0.9061355014782255j)
2022-09-17T13:00:00,(1.0197623154464213+0j),(-0.5171969825455206+0.8958114512901557j),(-0.5186473168258519-0.8983235039516486j)
2022-09-17T13:05:00,(1.021106436423991+0j),(-0.5173644195550867+0.896101460697792j),(-0.518156875007287-0.8974740338037377j)
2022-09-17T13:10:00,(1.0259731104859475+0j),(-0.5222691926967563+0.9045967769787627j),(-0.522847408804591-0.9055982766552872j)
2022-09-17T13:15:00,(1.031334699415283+0j),(-0.5212902816446111+0.9029012533003565j),(-0.5229890873056979-0.9058436710175446j)
2022-09-17T13:20:00,(1.0346391175421359+0j),(-0.5232632949708446+0.9063186126254036j),(-0.5236613069024418-0.9070079895129486j)
2022-09-17T13:25:00,(1.0339467329839043+0j),(-0.5198409189673231+0.9003908835046996j),(-0.5236300655151837-0.9069538778429185j)
2022-09-17T13:30:00,(1.0277377947277162+0j),(-0.5173510888787962+0.8960783712891572j),(-0.5213352844822078-0.9029792005015589j)
2022-09-17T13:35:00,(1.027222403208814+0j),(-0.5191040108479721+0.8991145212014737j),(-0.5216253510913972-0.9034816106062541j)
2022-09-17T13:40:00,(1.026911686938004+0j),(-0.5177529087569603+0.8967743437336286j),(-0.52048036088443-0.9014984293936179j)
2022-09-17T13:45:00,(1.026029063118687+0j),(-0.515805761687021+0.893401786078685j),(-0.5206537047519629-0.9017986697793657j)
2022-09-17T13:50:00,(1.0293819894211584+0j),(-0.5179239731056622+0.8970706358769441j),(-0.521018560278924-0.9024306180894847j)
